5,0.322,0.3366,0.3463,0.3486,0.3407
10,0.318,0.3254,0.3406,0.3395,0.3389
15,0.314,0.325,0.3419,0.341,0.3354
20,0.318,0.3192,0.3393,0.3424,0.3375
25,0.309,0.3226,0.3378,0.3397,0.3354
30,0.304,0.3218,0.3364,0.3384,0.3353
35,0.307,0.3188,0.3366,0.3364,0.3315
40,0.309,0.317,0.3397,0.3384,0.3296
45,0.311,0.3162,0.3361,0.335,0.3317
50,0.308,0.314,0.3324,0.3293,0.3306
